abv,degree,sweet,acidity,body,tannin,price,year
12.50869565,12.06521739,1.086956522,3.130434783,3,1,47956.52174,4.608695652
10.5,10.66666667,3.666666667,2,2.333333333,1.333333333,45600,7.333333333
12.44444444,11.80555556,1.555555556,3.166666667,2.333333333,1.111111111,37055.55556,13.11111111
8.75,8,4.5,2,4,1,105000,5
12.59090909,8.363636364,1.272727273,3.181818182,2.363636364,1,48263.63636,4
10.66666667,11.75,2,2.166666667,1.833333333,1,27500,13.66666667
5.136363636,7.272727273,3.909090909,1.454545455,2.272727273,1,28627.27273,1.818181818
13.04545455,10.40909091,1.090909091,3.181818182,2.727272727,2.090909091,48909.09091,3
12.575,12.4,1.05,2.95,2,1,44285,4.25
13.5,9.5,1.25,3.25,3,1.5,178750,7.5
10.54166667,10.25,3.166666667,2.666666667,2.5,1,28966.99198,0.75
12.45,16,1.5,4.5,3.5,2.5,73500,8
