abv,degree,sweet,acidity,body,tannin,price,year
13.12335244,10.61174785,1.094555874,2.965616046,3,1,65168.86253,4.8252149
7.676433121,8.082802548,3.923566879,2.057324841,2.299363057,1,42757.56142,2.089171975
13.66388889,10.84953704,1.023148148,3.263888889,4.069444444,1,154969.4444,6.259259259
12.65029703,10.17079208,1.148514851,2.920792079,1.935643564,1,41600.49505,4.044554455
13.06717742,10.62298387,1.052419355,4.193548387,3.040322581,1,98543.49078,4.830645161
13.37258065,11.41935484,1,4.274193548,4.048387097,1,588687.8252,13.53225806
12.54410377,9.858490566,1.04245283,4.127358491,1.919811321,1,52430.55305,3.919811321
13.10734463,10.89548023,1.096045198,2.960451977,2.587570621,1.011299435,60394.91525,13.71751412
10.89285714,10.3125,2.589285714,4.517857143,2.607142857,1,78792.85714,9.035714286
10.22306818,8.994318182,4.511363636,2.056818182,2.636363636,1,134235.2273,12.54545455
12.75595092,10.8190184,1.018404908,4.343558282,2.380368098,1,68820.8589,13.09815951
12.02625,8.3375,4.85,2.9625,4.2875,1,216481.25,9.325
