,Table,Dessert,Appetizer,"Appetizer, Dessert","Appetizer, Table","Table, Dessert","Appetizer, Table, Dessert"
Germany,61,26,3,11,15,19,2
South Africa,107,6,1,5,10,1,0
Portugal,48,44,3,7,10,1,0
Greece,45,4,1,1,7,0,0
Austria,34,6,0,0,4,0,0
