,Table,Dessert,Appetizer,"Appetizer, Dessert","Appetizer, Table","Table, Dessert","Appetizer, Table, Dessert"
Korea,3,2,0,2,3,0,0
Romania,5,1,0,0,0,0,0
Croatia,6,0,0,0,0,0,0
Uruguay,3,0,0,0,1,0,0
Bulgaria,2,1,0,0,0,0,0
