,Table,Dessert,Appetizer,"Appetizer, Dessert","Appetizer, Table","Table, Dessert","Appetizer, Table, Dessert"
Portugal,48,44,3,7,10,1,0
Greece,45,4,1,1,7,0,0
Austria,34,6,0,0,4,0,0
Canada,1,19,0,0,0,1,0
Slovenia,13,0,0,0,6,0,0
