,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Argentina,Australia,Austria,Bulgaria,Canada,Chile,Croatia,France,Georgia,Germany,Greece,Hungary,Israel,Italy,Japan,Korea,Moldova,NewZealand,Portugal,Romania,Slovenia,Spain,SouthAfrica,UK,Uruguay,USA
54,35000,60000,,,,125000,,175000,,15000,85000,,,25000,,,,85000,125000,,,15000,85000,,,375000
55,35000,125000,,,,85000,,225000,,125000,35000,,,175000,,,,85000,125000,,,15000,45000,,,225000
56,35000,60000,,,,125000,,225000,,60000,35000,,,35000,,,,60000,125000,,,25000,35000,,,375000
57,45000,45000,,,,25000,,225000,,60000,45000,,,175000,,,,60000,125000,,,60000,35000,,,375000
58,45000,45000,,,,60000,,225000,,125000,375000,,,35000,,,,85000,125000,,,5000,15000,,,125000
59,25000,45000,,,,225000,,375000,,45000,175000,,,60000,,,,85000,175000,,,5000,15000,,,125000
60,45000,25000,,,,15000,,375000,,175000,,,,85000,,,,375000,60000,,,15000,25000,,,175000
61,45000,60000,,,,45000,,275000,,85000,,,,275000,,,,175000,60000,,,15000,15000,,,85000
62,125000,60000,,,,175000,,225000,,225000,,,,85000,,,,15000,35000,,,15000,15000,,,85000
63,45000,45000,,,,60000,,375000,,375000,,,,125000,,,,25000,35000,,,15000,45000,,,375000
64,85000,60000,,,,35000,,375000,,375000,,,,125000,,,,35000,35000,,,15000,60000,,,225000
65,85000,45000,,,,35000,,375000,,175000,,,,35000,,,,45000,35000,,,15000,25000,,,60000
66,85000,175000,,,,35000,,375000,,45000,,,,85000,,,,60000,175000,,,15000,45000,,,60000
67,85000,60000,,,,60000,,375000,,60000,,,,225000,,,,45000,175000,,,15000,45000,,,60000
68,35000,35000,,,,125000,,375000,,85000,,,,125000,,,,60000,45000,,,15000,15000,,,85000
69,35000,35000,,,,85000,,375000,,85000,,,,25000,,,,60000,45000,,,15000,25000,,,85000
70,15000,85000,,,,175000,,375000,,125000,,,,25000,,,,60000,35000,,,15000,275000,,,85000
71,15000,25000,,,,225000,,25000,,15000,,,,175000,,,,35000,60000,,,15000,225000,,,85000
72,225000,60000,,,,25000,,25000,,45000,,,,375000,,,,45000,125000,,,15000,225000,,,25000
73,125000,125000,,,,45000,,45000,,25000,,,,175000,,,,60000,85000,,,15000,85000,,,25000
74,60000,60000,,,,35000,,60000,,25000,,,,85000,,,,60000,45000,,,25000,175000,,,25000
75,25000,60000,,,,45000,,15000,,60000,,,,275000,,,,45000,35000,,,15000,15000,,,85000
76,25000,85000,,,,85000,,15000,,60000,,,,175000,,,,35000,25000,,,35000,15000,,,85000
77,25000,25000,,,,85000,,25000,,85000,,,,125000,,,,35000,35000,,,85000,15000,,,85000
78,60000,25000,,,,125000,,35000,,5000,,,,275000,,,,60000,60000,,,35000,15000,,,60000
79,45000,35000,,,,60000,,375000,,25000,,,,60000,,,,85000,35000,,,15000,15000,,,35000
80,60000,60000,,,,125000,,35000,,85000,,,,60000,,,,60000,60000,,,15000,15000,,,60000
81,85000,35000,,,,35000,,45000,,85000,,,,175000,,,,60000,175000,,,85000,60000,,,60000
82,175000,35000,,,,35000,,85000,,85000,,,,60000,,,,60000,15000,,,85000,125000,,,85000
83,45000,35000,,,,35000,,60000,,85000,,,,175000,,,,85000,25000,,,25000,25000,,,85000
84,45000,35000,,,,85000,,85000,,45000,,,,60000,,,,175000,125000,,,35000,35000,,,225000
85,85000,35000,,,,35000,,15000,,25000,,,,45000,,,,175000,175000,,,60000,25000,,,85000
86,225000,60000,,,,85000,,85000,,15000,,,,60000,,,,45000,125000,,,85000,85000,,,225000
87,25000,60000,,,,60000,,15000,,375000,,,,25000,,,,60000,125000,,,25000,375000,,,85000
88,25000,25000,,,,25000,,175000,,25000,,,,15000,,,,60000,60000,,,35000,45000,,,85000
89,25000,25000,,,,35000,,375000,,35000,,,,25000,,,,85000,85000,,,45000,35000,,,175000
90,15000,25000,,,,25000,,375000,,125000,,,,25000,,,,60000,60000,,,375000,45000,,,275000
91,15000,175000,,,,60000,,60000,,175000,,,,175000,,,,60000,175000,,,60000,35000,,,175000
92,25000,125000,,,,25000,,375000,,25000,,,,125000,,,,60000,125000,,,25000,25000,,,125000
93,25000,175000,,,,25000,,175000,,25000,,,,175000,,,,85000,5000,,,25000,175000,,,125000
94,25000,60000,,,,25000,,85000,,15000,,,,85000,,,,60000,45000,,,85000,25000,,,175000
95,35000,25000,,,,60000,,375000,,60000,,,,85000,,,,45000,35000,,,275000,15000,,,45000
96,35000,35000,,,,25000,,60000,,60000,,,,15000,,,,125000,35000,,,125000,60000,,,175000
97,85000,45000,,,,45000,,60000,,85000,,,,15000,,,,175000,35000,,,125000,15000,,,175000
98,25000,35000,,,,25000,,35000,,125000,,,,375000,,,,60000,45000,,,125000,15000,,,5000
99,25000,35000,,,,45000,,35000,,60000,,,,125000,,,,60000,45000,,,125000,85000,,,5000
100,25000,225000,,,,25000,,45000,,60000,,,,35000,,,,35000,45000,,,45000,25000,,,85000
101,35000,85000,,,,45000,,25000,,35000,,,,60000,,,,60000,45000,,,175000,25000,,,85000
102,35000,60000,,,,85000,,325000,,35000,,,,60000,,,,85000,35000,,,60000,25000,,,45000
103,25000,25000,,,,25000,,125000,,35000,,,,125000,,,,60000,85000,,,35000,25000,,,45000
104,25000,45000,,,,60000,,325000,,35000,,,,175000,,,,60000,85000,,,45000,60000,,,45000
105,25000,35000,,,,25000,,35000,,60000,,,,85000,,,,60000,25000,,,175000,35000,,,45000
106,35000,60000,,,,85000,,60000,,60000,,,,225000,,,,45000,25000,,,85000,35000,,,45000
107,60000,225000,,,,25000,,35000,,85000,,,,175000,,,,60000,45000,,,60000,35000,,,25000
108,25000,85000,,,,60000,,125000,,125000,,,,375000,,,,85000,45000,,,60000,25000,,,35000
109,35000,125000,,,,60000,,125000,,60000,,,,325000,,,,85000,45000,,,25000,25000,,,35000
110,25000,85000,,,,25000,,35000,,125000,,,,85000,,,,85000,45000,,,175000,85000,,,35000
111,85000,175000,,,,45000,,125000,,85000,,,,35000,,,,125000,35000,,,125000,125000,,,375000
112,45000,225000,,,,45000,,45000,,125000,,,,85000,,,,60000,45000,,,25000,85000,,,175000
113,25000,175000,,,,45000,,45000,,15000,,,,85000,,,,85000,60000,,,35000,60000,,,85000
114,175000,85000,,,,175000,,45000,,175000,,,,175000,,,,60000,45000,,,25000,60000,,,175000
115,45000,325000,,,,45000,,85000,,35000,,,,175000,,,,35000,,,,25000,85000,,,85000
116,85000,375000,,,,375000,,35000,,60000,,,,375000,,,,15000,,,,15000,85000,,,125000
117,45000,275000,,,,125000,,375000,,25000,,,,225000,,,,125000,,,,15000,60000,,,25000
