,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Austria,17,23,2,0,2,0,0
Canada,3,17,0,0,1,0,0
Slovenia,5,13,0,0,1,0,0
Hungary,4,10,0,0,0,0,0
Georgia,7,6,0,0,0,0,0
