,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Chile,669,185,4,0,9,1,0
Spain,497,126,18,11,93,17,1
Australia,397,132,4,6,24,0,0
Argentina,210,43,1,0,6,0,0
New Zealand,55,95,0,0,4,0,0
