,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Portugal,33,15,1,61,2,1,0
Greece,31,22,3,0,2,0,0
Austria,17,23,2,0,2,0,0
Canada,3,17,0,0,1,0,0
Slovenia,5,13,0,0,1,0,0
