,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Bulgaria,2,1,0,0,0,0,0
Croatia,4,2,0,0,0,0,0
Uruguay,3,0,0,0,1,0,0
Bulgaria,2,1,0,0,0,0,0
Japan,1,2,0,0,0,0,0
