,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Korea,2,3,0,2,3,0,0
Bulgaria,2,1,0,0,0,0,0
Croatia,4,2,0,0,0,0,0
Uruguay,3,0,0,0,1,0,0
Bulgaria,2,1,0,0,0,0,0
