,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Bulgaria,2,1,0,0,0,0,0
Japan,1,2,0,0,0,0,0
Moldova,0,0,1,0,1,0,0
Israel,1,0,0,0,0,0,0
UK,0,0,0,0,1,0,0
