,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Germany,7,116,2,0,9,3,0
South Africa,84,34,5,0,7,0,0
Portugal,33,15,1,61,2,1,0
Greece,31,22,3,0,2,0,0
Austria,17,23,2,0,2,0,0
