,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Slovenia,5,13,0,0,1,0,0
Hungary,4,10,0,0,0,0,0
Georgia,7,6,0,0,0,0,0
Korea,2,3,0,2,3,0,0
Romania,4,2,0,0,0,0,0
