,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Georgia,7,6,0,0,0,0,0
Korea,2,3,0,2,3,0,0
Romania,4,2,0,0,0,0,0
Croatia,4,2,0,0,0,0,0
Uruguay,3,0,0,0,1,0,0
