,Red,White,Rose,Fortified,Sparkling,Etc,Hard
Australia,397,132,4,6,24,0,0
Argentina,210,43,1,0,6,0,0
New Zealand,55,95,0,0,4,0,0
Germany,7,116,2,0,9,3,0
South Africa,84,34,5,0,7,0,0
